UF;Total de Leitos
MA;26
SP;58
SP;137
SP;232
SP;136
RR;212
SP;90
TO;216
PA;113
SP;248
MG;218
SP;155
SP;275
SP;225
MT;212
SP;124
SP;193
RS;21
AP;42
RN;100
RN;12
AM;158
AC;85
SP;44
SP;17
SP;167
SP;92
GO;16
MA;196
MA;60
PE;124
SP;90
RJ;80
AM;68
CE;80
AC;120
BA;46
SC;96
MT;147
BA;28
RO;84
BA;126
SE;40
SP;13
MA;40
BA;62
GO;21
RJ;240
CE;146
PA;146
MA;50
RO;114
SP;130
AM;16
MA;90
AL;39
MT;25
BA;30
RJ;518
BA;40
BA;89
PA;50
SC;400
RS;144
SP;264
SP;100
RJ;28
MG;150
AM;24
AM;76
BA;122
RS;415
RS;90
SP;75
MA;65
RR;33
SC;76
MA;17
BA;46
RR;44
AM;56
SC;210
SC;181
SP;29
MG;111
AM;100
CE;275
SP;60
RS;200
MG;96
SC;198
RS;147
SP;89
MG;28
PE;22
GO;34
SP;44
BA;203
GO;260
BA;146
MA;67
AP;40
AP;72
PR;155
AC;46
CE;32
RN;18
AL;66
SP;120
PE;324
RJ;27
RN;24
MT;34
MT;38
PR;45
RS;300
RJ;168
CE;20
BA;608
PE;64
PR;170
BA;180
AL;45
MA;100
MT;16
SP;104
RN;977
ES;160
AC;32
AC;54
CE;94
RJ;20
BA;18
SP;30
MG;20
PA;110
PE;142
MT;25
PR;205
PR;653
BA;25
PA;26
BA;35
BA;106
MS;50
SP;70
BA;35
BA;42
BA;102
PE;7
RJ;24
RR;121
SP;50
SP;104
ES;115
ES;108
PB;56
MG;40
RS;50
ES;170
AL;48
SP;90
PE;26
SC;130
SC;65
SC;60
PB;40
PB;72
MA;44
BA;80
BA;24
RJ;70
RJ;43
RJ;83
SP;36
BA;24
AM;42
AM;90
RS;51
MG;62
SP;9
PE;34
PB;40
BA;24
MG;20
TO;16
MA;50
SP;79
SP;66
CE;22
RJ;146
CE;43
SP;9
CE;74
GO;45
SP;30
BA;40
CE;20
PE;18
PR;78
PE;38
SP;39
MS;15
SC;86
MA;8
RS;38
SP;23
MG;250
PB;171
AM;10
RN;7
RJ;89
CE;14
GO;4
PE;48
PR;38
PR;40
MS;28
DF;342
GO;59
CE;16
SP;432
MT;89
PA;73
PI;24
PB;350
SP;376
RJ;152
RS;50
GO;30
RS;346
PB;50
PA;102
BA;47
MG;65
MG;7
SE;200
CE;223
MS;33
GO;11
RN;58
SP;150
PR;192
RJ;39
MG;200
MT;40
PE;14
RJ;189
BA;14
PA;120
BA;100
SP;154
AL;16
GO;21
GO;15
AM;176
AM;45
AC;73
AC;108
AM;202
AM;148
MT;95
AM;26
AM;22
AM;44
BA;50
AC;23
PA;64
CE;87
PE;18
SP;132
MA;24
RJ;378
BA;62
GO;31
AC;74
ES;60
BA;84
PA;68
SP;68
CE;193
MS;68
GO;21
AL;18
SC;15
AL;80
PE;10
BA;23
CE;22
CE;48
TO;20
SP;16
PB;125
RN;24
GO;30
CE;72
SP;31
SP;7
MG;50
PR;32
RJ;30
RN;12
GO;21
BA;63
PE;38
RJ;24
AM;28
PR;75
RJ;32
SP;120
AM;64
BA;93
MS;249
RJ;476
AM;23
PE;400
GO;36
ES;36
MG;8
SP;57
MS;50
SP;9
CE;52
GO;90
RS;25
ES;66
RN;134
MT;82
SP;22
ES;33
RJ;40
GO;14
CE;86
PA;30
AM;44
PA;54
TO;130
RJ;54
MG;13
PB;12
MG;20
MG;25
GO;17
SP;41
RS;52
SC;142
MT;30
SC;50
GO;17
AM;26
MG;70
MT;20
MG;38
MS;101
SP;50
CE;22
MG;150
BA;20
PE;38
RS;49
MG;20
SP;20
SP;8
GO;9
MA;51
TO;105
MA;37
SP;30
SP;36
RS;208
CE;36
GO;11
MT;80
PB;50
RN;40
SP;50
MS;45
BA;123
AL;30
AM;258
AC;45
AC;28
RJ;77
MS;250
GO;27
CE;18
GO;25
MS;130
RS;65
SP;102
RJ;62
RJ;36
PR;56
MG;48
RN;110
SP;160
SE;80
RJ;12
CE;60
SC;69
SP;12
AM;30
PA;119
MS;50
CE;18
PR;260
AM;108
CE;111
SP;40
GO;12
SP;28
BA;96
MT;25
SE;40
BA;35
AM;182
MT;150
PA;35
PR;46
RN;33
RN;300
RN;350
SP;48
GO;248
AM;54
PE;61
RJ;70
MG;143
MG;236
MG;146
RN;46
SP;40
RJ;78
SP;60
MT;140
MA;20
RJ;189
RJ;231
RJ;50
RN;507
PR;100
AC;76
MA;31
RJ;150
SP;62
PR;100
PB;21
PR;11
MT;61
DF;118
MA;44
PR;73
MG;52
ES;172
MS;47
ES;130
RJ;100
RJ;112
PE;270
RJ;80
MS;50
SP;50
MG;24
SP;173
PA;20
MT;40
RN;20
SC;120
GO;48
SP;187
RJ;25
PA;20
MT;70
PE;36
RS;154
SC;129
BA;146
SP;348
SP;397
PB;256
PR;50
RJ;248
RJ;41
SP;82
SC;106
SP;34
GO;120
MA;10
SP;179
MS;94
CE;39
PI;34
RJ;216
SP;231
RJ;181
SP;165
MG;160
SP;390
PA;166
PE;268
RN;228
GO;190
RJ;266
SP;162
SP;149
SP;184
SP;174
SP;276
SP;335
SP;210
SP;178
SP;228
SP;239
SP;180
SP;226
SP;228
SC;148
SP;148
SP;218
SP;298
SP;248
MG;420
DF;380
SP;141
RJ;126
RJ;296
DF;188
GO;142
MG;159
RJ;154
MG;390
SP;500
ES;304
MG;357
MG;284
AM;293
MG;176
RS;160
RN;200
RS;294
AM;226
SP;171
PE;410
RS;120
PR;168
MG;102
SP;268
DF;138
SP;165
ES;126
PA;423
DF;169
PE;30
SC;180
BA;250
CE;43
RJ;230
CE;795
MG;116
TO;97
TO;49
BA;213
RS;220
SC;128
SC;160
SC;220
SC;252
SC;220
SP;216
SP;360
SC;264
SC;360
SP;360
SP;360
RS;308
RS;308
RS;360
PR;204
RS;308
RS;332
SC;264
PR;360
PR;264
SP;280
SP;160
RS;264
PR;526
RS;360
PR;228
RS;300
PR;152
GO;234
RJ;53
SP;56
SP;70
PE;80
MS;34
GO;318
TO;75
SE;234
BA;38
AC;27
PE;98
PA;14
ES;41
CE;45
PA;62
BA;65
GO;64
MG;35
SC;30
CE;9
SP;110
PR;136
PE;284
SC;24
PR;114
DF;122
MT;24
MT;47
CE;20
BA;490
BA;48
BA;667
PE;93
PE;10
BA;18
MA;78
SP;53
SP;42
RJ;27
RJ;70
MT;157
RJ;156
SP;238
AM;71
SP;41
MG;17
RJ;52
SP;48
PR;82
PR;171
BA;38
ES;100
PE;54
PR;17
RJ;192
SP;396
PI;85
MS;9
BA;210
GO;46
PA;386
CE;32
RS;70
AC;128
RN;77
AP;113
SC;8
CE;704
MG;40
RJ;22
SP;20
RJ;68
PE;60
RJ;24
BA;80
MA;57
PA;724
MG;23
MG;8
PR;52
PR;276
MG;284
GO;50
PA;80
BA;20
ES;58
AL;57
SP;12
MT;80
RJ;122
MS;180
RJ;3
RS;78
RO;10
RO;75
PR;41
MG;50
RS;175
PR;318
MS;196
PB;134
RJ;8
GO;78
RJ;22
CE;25
AM;38
PR;53
RN;410
MA;226
RN;96
RJ;617
PE;430
PR;72
PR;160
SP;186
RJ;169
PA;135
PA;125
RJ;495
SP;159
PR;88
RJ;215
RS;218
RJ;432
RJ;286
PR;120
RJ;477
MG;104
ES;112
CE;13
RO;132
SP;38
RJ;8
PR;67
SP;180
SP;34
SP;38
SP;124
RJ;150
RO;10
MA;25
RN;65
CE;88
RS;430
AM;340
RS;278
RJ;165
SC;192
SP;332
SC;111
SC;99
RS;264
BA;70
SP;80
PI;27
RS;214
RS;217
RS;35
SP;41
AL;411
PB;30
PR;232
PE;210
RJ;88
RJ;120
SC;298
PE;64
PA;110
PR;72
SP;30
BA;30
PR;36
MG;42
RJ;50
SP;34
SP;116
PR;90
PA;25
RJ;58
MG;189
MG;115
PR;115
PR;146
PR;133
MG;200
MG;102
DF;217
DF;250
BA;32
BA;12
CE;78
CE;64
PR;180
RN;378
RJ;41
RJ;580
BA;430
MA;400
SC;424
SP;60
RS;55
RN;44
RS;44
TO;31
SC;30
RJ;378
CE;75
BA;22
SP;75
BA;36
PR;290
PR;130
ES;320
ES;216
DF;260
PR;144
MS;73
RJ;12
CE;46
GO;20
PE;28
RJ;33
SC;190
SP;112
RJ;88
SP;688
SP;484
SP;170
SP;134
RJ;1.008
RS;278
SP;409
SC;96
SC;111
PR;183
AM;342
RS;504
SP;566
SP;332
GO;156
SP;200
SP;182
SP;1.126
AM;152
RJ;230
SC;24
RJ;19
SP;1.200
MS;132
MS;161
RJ;672
RJ;120
RJ;54
RJ;32
RJ;6
MS;5
SC;88
MG;138
RJ;36
BA;58
PE;58
MG;102
BA;70
SP;456
MT;67
MT;84
