UF;Total de Leitos;;
SP;56;;
SP;84;;
SP;94;;
SP;180;;
SP;100;;
SP;132;;
SP;62;;
SP;180;;
SP;216;;
GO;30;;
RS;55;;
RJ;140;;
MS;90;;
GO;48;;
GO;54;;
RJ;180;;
GO;868;;
GO;1420;;
GO;1010;;
GO;1480;;
GO;1724;;
GO;1200;;
GO;1440;;
GO;1920;;
GO;1440;;
GO;1280;;
GO;70;;
RJ;32;;
BA;412;;
CE;76;;
TO;286;;
BA;91;;
SP;90;;
MG;35;;
SC;128;;
MT;23;;
PR;130;;
GO;200;;
MS;90;;
BA;90;;
RJ;50;;
MG;76;;
GO;183;;
MS;99;;
MS;277;;
RJ;240;;
MA;123;;
PI;177;;
SP;150;;
MS;45;;
RJ;142;;
BA;80;;
RS;320;;
MA;392;;
SP;80;;
MT;101;;
SE;21;;
RJ;96;;
BA;116;;
PE;49;;
BA;96;;
MT;136;;
BA;120;;
PE;33;;
MS;48;;
MS;30;;
SP;110;;
SP;576;;
SP;280;;
SP;234;;
SP;180;;
SP;163;;
SP;359;;
RS;64;;
RS;80;;
SC;6;;
BA;47;;
GO;43;;
SP;38;;
PR;32;;
RJ;51;;
SP;72;;
SP;221;;
RS;183;;
SC;51;;
MT;70;;
GO;38;;
PA;30;;
GO;90;;
BA;50;;
RJ;45;;
RJ;46;;
GO;80;;
RJ;20;;
RJ;166;;
PR;30;;
BA;60;;
MG;9;;
BA;200;;
SP;91;;
ES;90;;
SC;172;;
PR;25;;
PB;72;;
PE;40;;
CE;33;;
SP;30;;
MT;44;;
RS;26;;
RS;150;;
PR;69;;
PE;110;;
SP;86;;
SP;120;;
SP;264;;
PE;50;;
ES;320;;
RN;220;;
RN;12;;
RN;12;;
DF;156;;
BA;93;;
SP;48;;
SC;230;;
PR;56;;
BA;31;;
PE;354;;
PE;350;;
PE;568;;
ES;182;;
MT;60;;
AL;76;;
BA;25;;
SP;55;;
BA;220;;
BA;30;;
PE;12;;
BA;90;;
MT;70;;
SC;40;;
GO;9;;
PR;189;;
DF;255;;
RJ;40;;
RJ;56;;
RJ;35;;
SC;17;;
SP;55;;
CE;38;;
PE;45;;
BA;33;;
BA;178;;
PI;65;;
BA;70;;
BA;18;;
RJ;42;;
PR;110;;
BA;60;;
BA;30;;
SP;180;;
PE;173;;
SP;120;;
BA;69;;
MG;40;;
BA;100;;
MA;44;;
MT;71;;
SP;24;;
SP;20;;
DF;260;;
DF;294;;
DF;260;;
ES;70;;
CE;24;;
RJ;23;;
SC;236;;
PE;82;;
MT;52;;
DF;441;;
MG;90;;
RJ;65;;
MG;123;;
MT;31;;
PE;15;;
MS;109;;
SC;127;;
RN;65;;
BA;110;;
AP;145;;
PE;13;;
BA;13;;
PB;174;;
GO;20;;
RJ;57;;
MA;100;;
BA;47;;
SP;410;;
SC;224;;
RN;70;;
AM;140;;
DF;70;;
RJ;60;;
RJ;27;;
RR;65;;
SP;97;;
PE;124;;
BA;120;;
BA;40;;
BA;54;;
MG;39;;
BA;52;;
MG;200;;
MG;160;;
SP;160;;
BA;150;;
MT;24;;
SP;14;;
PA;17;;
GO;32;;
BA;130;;
SP;27;;
