UF;Leitos;
DF;432;
DF;100;
DF;222;
DF;108;
DF;744;
DF;182;
DF;124;
DF;240;
DF;108;
DF;316;
DF;272;
RN;34;
DF;161;
DF;188;
DF;255;
DF;113;
DF;60;
DF;210;
DF;38;
DF;327;
DF;90;
DF;425;
DF;575;
DF;307;
DF;532;
DF;426;
DF;260;
DF;441;
DF;60;
DF;254;
AL;15;
MA;119;
DF;148;
PB;108;
AL;28;
BA;825;
BA;114;
CE;106;
AL;22;
DF;121;
DF;294;
DF;174;
DF;100;
DF;320;
DF;281;
DF;350;
PE;482;
CE;64;
BA;201;
CE;280;
AL;240;
PE;336;
AL;41;
PB;25;
AL;66;
BA;256;
CE;32;
CE;53;
PE;715;
PE;12;
RN;48;
CE;5;
PB;33;
BA;14;
BA;300;
AL;12;
CE;321;
AL;45;
PI;80;
CE;93;
PE;66;
MA;78;
BA;321;
PB;90;
CE;330;
CE;26;
AL;200;
PB;104;
BA;400;
CE;58;
DF;70;
DF;272;
BA;93;
CE;43;
PB;106;
PE;35;
DF;301;
DF;141;
DF;366;
AL;540;
PE;14;
PI;39;
AL;36;
CE;90;
BA;50;
BA;70;
AL;308;
BA;412;
BA;180;
SE;222;
AL;31;
MA;57;
CE;28;
BA;2336;
BA;90;
CE;62;
AL;45;
CE;138;
BA;72;
AL;29;
RN;48;
MA;38;
SE;224;
BA;121;
PE;50;
PB;92;
BA;149;
BA;52;
BA;100;
PE;133;
CE;30;
AL;24;
AL;65;
RN;18;
BA;60;
CE;27;
RN;40;
BA;90;
BA;240;
RN;410;
CE;110;
PB;73;
BA;16;
PE;22;
AL;10;
PE;400;
BA;90;
CE;73;
BA;32;
RN;170;
BA;99;
SE;264;
RN;1024;
BA;40;
BA;264;
AL;252;
PE;120;
PI;160;
PE;26;
BA;59;
AL;36;
MA;63;
PB;130;
AL;31;
BA;92;
BA;300;
BA;34;
CE;420;
BA;70;
AL;68;
CE;96;
CE;434;
CE;120;
CE;184;
BA;250;
CE;72;
CE;16;
BA;251;
PB;260;
CE;312;
SE;267;
CE;520;
AL;18;
AL;51;
CE;53;
AL;28;
CE;37;
BA;94;
BA;8;
PE;170;
AL;16;
BA;90;
AL;100;
CE;240;
PB;12;
AL;290;
PE;66;
PE;274;
CE;72;
AL;46;
BA;462;
PB;241;
PB;42;
BA;38;
AL;40;
RN;75;
RN;278;
BA;211;
CE;43;
RN;325;
AL;455;
AL;321;
PB;138;
PE;49;
CE;40;
CE;57;
AL;47;
PE;290;
PB;170;
PE;7;
BA;53;
AL;24;
BA;75;
PE;78;
RN;140;
SE;40;
BA;65;
MA;28;
AL;96;
PB;170;
BA;19;
BA;50;
CE;32;
AL;21;
BA;20;
PE;600;
PE;36;
BA;52;
MA;120;
PB;90;
PB;35;
RN;160;
BA;164;
PI;99;
PB;164;
CE;306;
CE;74;
BA;104;
AL;32;
RN;220;
PB;69;
CE;43;
CE;34;
BA;73;
CE;70;
PB;119;
AL;24;
CE;16;
CE;28;
MA;30;
PE;336;
CE;157;
RN;188;
AL;26;
AL;81;
BA;322;
RN;260;
AL;75;
PB;87;
PB;353;
BA;162;
BA;120;
AL;117;
BA;34;
PE;190;
MA;180;
CE;140;
PB;150;
MA;71;
MA;230;
AL;270;
AL;80;
RN;96;
PE;362;
AL;106;
BA;40;
MA;78;
PE;100;
CE;58;
BA;16;
AL;262;
AL;52;
BA;134;
AL;81;
BA;67;
BA;33;
MA;544;
PE;400;
AL;69;
AL;60;
BA;45;
BA;400;
AL;980;
SE;170;
PB;22;
BA;238;
PE;80;
CE;16;
BA;110;
BA;100;
CE;12;
SE;148;
CE;80;
RN;50;
PE;80;
BA;96;
PE;27;
AL;52;
MA;52;
BA;66;
PE;4;
AL;45;
RN;45;
SE;106;
PB;115;
AL;173;
PI;118;
BA;65;
CE;6;
PE;13;
MA;59;
PB;80;
RN;228;
MA;14;
PE;75;
AL;12;
PB;100;
CE;36;
AL;64;
MA;72;
BA;667;
PE;26;
PE;21;
BA;1564;
PB;350;
AL;39;
BA;140;
RN;34;
CE;15;
RN;46;
BA;42;
AL;33;
PB;104;
CE;114;
PB;170;
PE;568;
BA;14;
BA;60;
SE;30;
PE;54;
BA;78;
PB;62;
PI;140;
MA;12;
SE;279;
PE;318;
RN;418;
BA;564;
PE;150;
BA;255;
PB;40;
AL;18;
PB;42;
AL;50;
CE;24;
BA;207;
AL;17;
AL;160;
RN;135;
AL;66;
AL;70;
BA;226;
AL;140;
PB;150;
SE;208;
PI;40;
PB;8;
BA;65;
PE;95;
AL;114;
PB;245;
PE;48;
AL;566;
MA;28;
MA;60;
AL;40;
AL;90;
CE;169;
RN;222;
MA;20;
MA;43;
BA;51;
CE;135;
AL;49;
AL;78;
PE;46;
SE;345;
BA;26;
BA;368;
AL;100;
PE;99;
PB;72;
AL;40;
BA;200;
BA;78;
AL;112;
SE;24;
BA;80;
PB;50;
BA;61;
PE;56;
BA;32;
BA;60;
BA;48;
BA;208;
PE;42;
AL;32;
AL;52;
AL;250;
CE;56;
AL;90;
AL;50;
CE;106;
MA;35;
AL;80;
AL;95;
BA;16;
BA;126;
PE;120;
RN;188;
BA;49;
CE;35;
AL;70;
AL;28;
RN;131;
PE;536;
PB;90;
CE;8;
PB;100;
CE;15;
BA;60;
CE;52;
AL;78;
AL;36;
CE;16;
BA;16;
PE;21;
CE;30;
CE;84;
CE;30;
BA;64;
AL;411;
BA;17;
BA;25;
BA;240;
CE;65;
CE;194;
BA;900;
CE;130;
BA;56;
AL;556;
CE;265;
PE;90;
BA;58;
AL;44;
SE;300;
BA;220;
AL;45;
BA;470;
PE;48;
PB;174;
AL;240;
RN;432;
PB;190;
AL;43;
CE;90;
PE;12;
PI;160;
AL;104;
PE;180;
PE;23;
BA;22;
BA;80;
PB;32;
BA;90;
BA;369;
BA;72;
AL;72;
PE;63;
AL;26;
RN;42;
PE;12;
AL;48;
BA;26;
SE;58;
BA;56;
PI;32;
BA;32;
BA;70;
BA;70;
RN;71;
CE;186;
AL;56;
BA;14;
BA;224;
PB;113;
CE;80;
AL;50;
BA;210;
CE;247;
CE;30;
RN;10;
RN;58;
PE;28;
PE;596;
PE;48;
AL;530;
AL;99;
AL;49;
PB;64;
AL;47;
BA;148;
AL;18;
PB;90;
PE;410;
CE;52;
BA;54;
BA;120;
MA;26;
AL;34;
BA;38;
PE;82;
PI;238;
CE;616;
PB;292;
BA;14;
MA;24;
BA;192;
CE;24;
PE;84;
PE;48;
BA;130;
CE;20;
RN;137;
PB;64;
BA;340;
PI;352;
CE;103;
MA;65;
AL;16;
CE;431;
CE;753;
AL;28;
CE;180;
CE;942;
CE;579;
PE;50;
PB;23;
AL;24;
BA;120;
PI;135;
AL;38;
RN;200;
BA;43;
PE;34;
PI;50;
CE;39;
PE;456;
CE;106;
CE;54;
CE;122;
BA;132;
AL;78;
AL;103;
SE;166;
PB;14;
BA;17;
CE;20;
PB;54;
BA;60;
PE;32;
CE;197;
BA;500;
CE;68;
BA;740;
PE;30;
BA;1100;
CE;52;
CE;82;
PI;123;
PB;69;
PB;120;
AL;260;
CE;15;
AL;34;
AL;12;
CE;16;
PB;30;
AL;28;
BA;40;
PE;15;
CE;269;
AL;120;
AL;60;
AL;23;
PE;450;
BA;84;
PB;60;
BA;70;
BA;54;
AL;23;
BA;242;
AL;75;
CE;1200;
PB;275;
PE;54;
AL;28;
CE;21;
BA;291;
PI;180;
